"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","arrival_time_sort","timepoint"
"296100049","15:49:00","15:49:00","130","11","L.A. Union Station","0","15:49:00","1"
"296100049","15:57:00","15:57:00","143","12","L.A. Union Station","0","15:57:00","1"
"296100049","16:20:00","16:20:00","107","13","L.A. Union Station","0","16:20:00","1"
"296100057","09:02:00","09:02:00","141","1","L.A. Union Station","0","09:02:00","1"
"296100057","09:12:00","09:12:00","140","2","L.A. Union Station","0","09:12:00","1"
"296100057","09:20:00","09:20:00","156","3","L.A. Union Station","0","09:20:00","1"
"296100057","09:26:00","09:26:00","154","4","L.A. Union Station","0","09:26:00","1"
"296100057","09:31:00","09:31:00","145","5","L.A. Union Station","0","09:31:00","1"
"296100057","09:36:00","09:36:00","128","6","L.A. Union Station","0","09:36:00","1"
"296100057","09:43:00","09:43:00","174","7","L.A. Union Station","0","09:43:00","1"
"296100057","09:49:00","09:49:00","130","8","L.A. Union Station","0","09:49:00","1"
"296100057","09:57:00","09:57:00","143","9","L.A. Union Station","0","09:57:00","1"
"296100057","10:20:00","10:20:00","107","10","L.A. Union Station","0","10:20:00","1"
"296200088","12:40:00","12:40:00","107","1","Laguna Niguel / Mission Viejo","0","12:40:00","1"
"296200088","13:05:00","13:05:00","143","2","Laguna Niguel / Mission Viejo","0","13:05:00","1"
"296200088","13:12:00","13:12:00","130","3","Laguna Niguel / Mission Viejo","0","13:12:00","1"
"296200088","13:18:00","13:18:00","174","4","Laguna Niguel / Mission Viejo","0","13:18:00","1"
"296200088","13:25:00","13:25:00","128","5","Laguna Niguel / Mission Viejo","0","13:25:00","1"
"296200088","13:30:00","13:30:00","145","6","Laguna Niguel / Mission Viejo","0","13:30:00","1"
"296200088","13:35:00","13:35:00","154","7","Laguna Niguel / Mission Viejo","0","13:35:00","1"
"296200088","13:41:00","13:41:00","156","8","Laguna Niguel / Mission Viejo","0","13:41:00","1"
"296200088","13:48:00","13:48:00","140","9","Laguna Niguel / Mission Viejo","0","13:48:00","1"
"296200088","13:57:00","13:57:00","141","10","Laguna Niguel / Mission Viejo","0","13:57:00","1"
"296200093","13:24:00","13:24:00","107","1","Oceanside","0","13:24:00","1"
"296200093","13:49:00","13:49:00","143","2","Oceanside","0","13:49:00","1"
"296200093","13:56:00","13:56:00","130","3","Oceanside","0","13:56:00","1"
"296200093","14:02:00","14:02:00","174","4","Oceanside","0","14:02:00","1"
"296200093","14:09:00","14:09:00","128","5","Oceanside","0","14:09:00","1"
"296200093","14:14:00","14:14:00","145","6","Oceanside","0","14:14:00","1"
"296200093","14:19:00","14:19:00","154","7","Oceanside","0","14:19:00","1"
"296200093","14:25:00","14:25:00","156","8","Oceanside","0","14:25:00","1"
"296200093","14:32:00","14:32:00","140","9","Oceanside","0","14:32:00","1"
"296200093","14:42:00","14:42:00","141","10","Oceanside","0","14:42:00","1"
"296200093","14:49:00","14:49:00","153","11","Oceanside","0","14:49:00","1"
"296200093","14:59:00","14:59:00","152","12","Oceanside","0","14:59:00","1"
"296200093","15:22:00","15:22:00","144","13","Oceanside","0","15:22:00","1"
"296200094","05:40:00","05:40:00","107","1","Laguna Niguel / Mission Viejo","0","05:40:00","1"
"296200094","06:05:00","06:05:00","143","2","Laguna Niguel / Mission Viejo","0","06:05:00","1"
"296200094","06:12:00","06:12:00","130","3","Laguna Niguel / Mission Viejo","0","06:12:00","1"
"296200094","06:18:00","06:18:00","174","4","Laguna Niguel / Mission Viejo","0","06:18:00","1"
"296200094","06:25:00","06:25:00","128","5","Laguna Niguel / Mission Viejo","0","06:25:00","1"
"296200094","06:30:00","06:30:00","145","6","Laguna Niguel / Mission Viejo","0","06:30:00","1"
"296200094","06:35:00","06:35:00","154","7","Laguna Niguel / Mission Viejo","0","06:35:00","1"
"296200094","06:41:00","06:41:00","156","8","Laguna Niguel / Mission Viejo","0","06:41:00","1"
"296200094","06:48:00","06:48:00","140","9","Laguna Niguel / Mission Viejo","0","06:48:00","1"
"296200094","06:57:00","06:57:00","141","10","Laguna Niguel / Mission Viejo","0","06:57:00","1"
"296200096","14:40:00","14:40:00","107","1","Laguna Niguel / Mission Viejo","0","14:40:00","1"
"296200096","15:05:00","15:05:00","143","2","Laguna Niguel / Mission Viejo","0","15:05:00","1"
"296200096","15:12:00","15:12:00","130","3","Laguna Niguel / Mission Viejo","0","15:12:00","1"
