route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
801,RJUN25-801-1_Weekday-08,62480929,,1,126,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480930,,1,159,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480931,,1,105,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480932,,1,153,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480933,,0,112,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480934,,0,111,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480935,,0,108,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480936,,0,126,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480937,,0,105,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480938,,0,156,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480940,,1,109,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480941,,1,151,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480942,,1,101,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480943,,1,152,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480944,,1,104,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480945,,1,110,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480946,,1,171,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480947,,1,114,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480948,,0,104,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480950,,0,162,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480951,,1,155,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480952,,1,108,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480953,,1,152,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480954,,0,164,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480955,,0,172,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480956,,0,106,801NB_RC_221121
